mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,genrenm,prfstate,openrun,SGG
PF195668,로봇똥 [대구],2022.10.08,2022.10.10,대백프라자,http://www.kopis.or.kr/upload/pfmPoster/PF_PF195668_220803_114350.gif,뮤지컬,공연예정,N,중구
PF194975,운빨 로맨스 [대구],2022.09.02,2022.10.30,아트플러스씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF194975_220721_102612.gif,연극,공연중,N,중구
PF194892,보잉보잉 [대구],2022.08.25,2022.10.10,송죽씨어터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF194892_220720_105513.jpg,연극,공연중,N,중구
PF194278,나의 ps파트너 [대구],2022.08.05,2022.10.03,여우별아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF194278_220708_121608.gif,연극,공연중,N,중구
PF194011,두 여자 [대구],2022.07.08,2022.11.30,하모니아 아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF194011_220704_140853.gif,연극,공연중,N,중구
PF192393,일리야 라쉬코프스키 라흐마니노프 3개의 피아노협주곡 [대구],2022.11.26,2022.11.26,대구콘서트하우스,http://www.kopis.or.kr/upload/pfmPoster/PF_PF192393_220608_105851.gif,클래식,공연예정,N,중구
PF181850,시간을 파는 상점 [대구],2021.12.11,2022.10.31,여우별아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF181850_211027_131248.gif,연극,공연중,Y,중구
PF198617,에스펜 에릭센 트리오 [대구],2022.10.03,2022.10.03,베리어스 재즈클럽,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198617_220922_142346.jpg,클래식,공연예정,N,수성구
PF197848,"수성아트피아 마티네 시즌 17, 쇼팽의 피아노 (10월)",2022.10.13,2022.10.13,한영아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197848_220908_125854.png,클래식,공연예정,N,수성구
PF197525,"수성아트피아 시즌음악회, 사랑의 묘약 하이라이트 (9월)",2022.09.28,2022.09.28,한영아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197525_220921_153242.PNG,오페라,공연예정,N,수성구
PF197305,하효경 피아노 독주회,2022.09.30,2022.09.30,한영아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197305_220908_151715.PNG,클래식,공연예정,N,수성구
PF193391,M.V.P 두번째 사랑: 선물 [대구],2022.11.27,2022.11.27,소담아트홀,http://www.kopis.or.kr/upload/pfmPoster/PF_PF193391_220623_133137.jpg,클래식,공연예정,N,수성구
PF198563,호두까기 인형 [대구],2022.11.26,2022.11.26,대구청소년수련원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198563_220921_131528.gif,뮤지컬,공연예정,N,달서구
PF198558,Once upon a time in 발레 [대구],2022.10.05,2022.10.05,대구학생문화센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198558_220921_130450.png,무용,공연예정,N,달서구
PF198360,"DSAC 아트 페스티벌, 피아노 위크",2022.10.18,2022.10.21,달서아트센터 (구. 웃는얼굴아트센터),http://www.kopis.or.kr/upload/pfmPoster/PF_PF198360_220919_140720.png,클래식,공연예정,N,달서구
PF198252,사과가 쿵 [대구],2022.11.19,2022.11.19,대구청소년수련원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198252_220916_114345.gif,뮤지컬,공연예정,N,달서구
PF198072,킹키부츠 [대구],2022.11.04,2022.11.13,계명아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198072_220914_111315.gif,뮤지컬,공연예정,N,달서구
PF197731,어쿠스틱카페 콘서트 내한공연 [대구],2022.10.14,2022.10.14,계명아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197731_220906_135713.jpg,클래식,공연예정,N,달서구
PF197728,프리즌 [대구],2022.12.30,2022.12.31,대구문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197728_220906_134736.gif,뮤지컬,공연예정,N,달서구
PF197705,"DAC 문화가 있는 날, 뮤직 오브 댄스",2022.09.28,2022.09.28,대구문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197705_220906_125916.jpg,클래식,공연예정,N,달서구
PF196543,파우스트  [대구],2022.09.24,2022.09.25,대구문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF196543_220818_120537.PNG,연극,공연중,N,달서구
PF196420,백조의 호수 [대구],2022.09.29,2022.09.30,대구문화예술회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF196420_220817_105026.png,무용,공연예정,N,달서구
PF193985,블록버스터 영화음악 콘서트 [대구],2022.10.08,2022.10.08,계명아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF193985_220704_131938.gif,클래식,공연예정,N,달서구
PF197432,빨간모자와 늑대 [대구],2022.11.13,2022.11.13,달성문화원,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197432_220901_133930.gif,뮤지컬,공연예정,N,달성군
